Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HS,AS,HST,AST,HC,AC,HF,AF,league,HxG,AxG,Hdeep,Adeep,Hppda_coef,Appda_coef,AVGH,AVGD,AVGA,season,ranking_HT_ls,ranking_AT_ls
2019-10-19,Dortmund,M'gladbach,1,0,H,0,0,20,13,7,3,10,8,13,15,Bundesliga,1.62968,3.217,6,11,9.318181818181818,12.61904761904762,1.46,4.99,6.38,2019/2020,2.0,5.0
2019-10-20,FC Koln,Paderborn,3,0,H,1,0,16,9,6,1,6,9,6,7,Bundesliga,2.41631,0.574545,3,2,15.708333333333334,9.28,1.66,4.41,4.44,2019/2020,-1.0,-2.0
2019-10-20,Hoffenheim,Schalke 04,2,0,H,0,0,9,11,3,1,3,8,12,14,Bundesliga,0.973105,0.859284,1,14,8.655172413793103,6.0588235294117645,2.69,3.5,2.55,2019/2020,9.0,14.0
2019-10-25,Mainz,FC Koln,3,1,H,1,1,18,16,6,8,5,10,20,9,Bundesliga,1.54568,1.52391,4,9,7.642857142857143,10.88888888888889,2.52,3.6,2.69,2019/2020,12.0,-1.0
2019-10-26,Bayern Munich,Union Berlin,2,1,H,1,0,21,6,10,4,8,2,9,15,Bundesliga,2.88476,1.7324,15,0,8.863636363636363,15.535714285714286,1.1,11.22,20.76,2019/2020,1.0,-3.0
2019-10-26,Freiburg,RB Leipzig,2,1,H,1,0,14,25,3,6,5,4,10,9,Bundesliga,1.77638,2.55936,3,8,12.958333333333334,11.523809523809524,4.01,3.76,1.89,2019/2020,13.0,3.0
2019-10-26,Hertha,Hoffenheim,2,3,A,0,2,13,17,4,8,4,4,17,12,Bundesliga,2.37055,2.93074,7,4,9.764705882352942,11.352941176470589,2.07,3.71,3.45,2019/2020,11.0,9.0
2019-10-26,Paderborn,Fortuna Dusseldorf,2,0,H,1,0,14,18,6,4,4,7,21,17,Bundesliga,0.738686,1.43646,3,5,8.875,9.636363636363637,2.4,3.84,2.71,2019/2020,-2.0,10.0
2019-10-26,Schalke 04,Dortmund,0,0,D,0,0,13,8,3,3,8,2,8,7,Bundesliga,1.08518,0.346623,3,4,11.0,8.0,3.08,3.57,2.27,2019/2020,14.0,2.0
2019-10-26,Leverkusen,Werder Bremen,2,2,D,1,1,21,10,4,3,10,1,12,13,Bundesliga,2.95018,0.502517,8,6,5.0,17.41176470588235,1.61,4.31,5.26,2019/2020,4.0,8.0
2019-10-27,Wolfsburg,Augsburg,0,0,D,0,0,14,10,3,5,5,3,12,13,Bundesliga,0.955818,0.741183,7,5,7.130434782608695,10.65,1.57,4.27,5.61,2019/2020,6.0,15.0
2019-10-27,M'gladbach,Ein Frankfurt,4,2,H,2,0,12,15,7,3,5,6,12,11,Bundesliga,1.99947,0.997822,5,3,12.35,8.344827586206897,1.88,4.01,3.69,2019/2020,5.0,7.0
2019-11-01,Hoffenheim,Paderborn,3,0,H,3,0,12,9,7,2,4,4,7,12,Bundesliga,1.89547,0.464343,7,2,19.9375,45.5,1.43,4.98,6.76,2019/2020,9.0,-2.0
2019-11-02,Dortmund,Wolfsburg,3,0,H,0,0,17,12,8,3,7,2,12,18,Bundesliga,2.14832,1.31443,11,9,10.0,10.8125,1.52,4.37,6.36,2019/2020,2.0,6.0
2019-11-02,Ein Frankfurt,Bayern Munich,5,1,H,2,1,17,7,11,3,3,0,12,7,Bundesliga,2.99704,1.08228,7,5,9.953488372093023,15.0,6.76,5.33,1.4,2019/2020,7.0,1.0
2019-11-02,Leverkusen,M'gladbach,1,2,A,1,2,23,11,6,6,13,0,13,8,Bundesliga,2.12992,2.05874,3,3,7.555555555555555,16.166666666666668,2.0,3.85,3.53,2019/2020,4.0,5.0
2019-11-02,RB Leipzig,Mainz,8,0,H,5,0,19,10,12,2,3,4,10,7,Bundesliga,3.95826,0.85545,11,4,8.153846153846153,23.63157894736842,1.34,5.35,8.4,2019/2020,3.0,12.0
2019-11-02,Werder Bremen,Freiburg,2,2,D,1,1,20,13,10,3,5,0,17,9,Bundesliga,2.02587,0.873641,9,5,15.2,11.25,1.92,3.79,3.8,2019/2020,8.0,13.0
2019-11-02,Union Berlin,Hertha,1,0,H,0,0,16,8,6,3,1,4,14,9,Bundesliga,1.31187,0.415645,3,4,8.5,27.22222222222222,2.83,3.33,2.56,2019/2020,-3.0,11.0
2019-11-03,Fortuna Dusseldorf,FC Koln,2,0,H,1,0,9,8,3,1,3,4,10,20,Bundesliga,2.18646,1.03434,1,10,8.870967741935484,6.652173913043479,2.72,3.6,2.48,2019/2020,10.0,-1.0
2019-11-03,Augsburg,Schalke 04,2,3,A,1,1,12,11,4,3,1,6,12,10,Bundesliga,1.55099,0.355124,6,5,15.565217391304348,6.764705882352941,3.78,3.77,1.91,2019/2020,15.0,14.0
2019-11-08,FC Koln,Hoffenheim,1,2,A,1,0,11,15,3,5,5,7,21,14,Bundesliga,0.638731,1.6191,12,8,8.8,10.0,2.57,3.6,2.66,2019/2020,-1.0,9.0
