Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,HS,AS,HST,AST,HC,AC,HF,AF,league,HxG,AxG,Hdeep,Adeep,Hppda_coef,Appda_coef,AVGH,AVGD,AVGA,season,ranking_HT_ls,ranking_AT_ls
2014-11-07,Hertha,Hannover,0,2,0,1,A,7,12,1,5,4,7,24,22,Bundesliga,0.363993,1.09164,3,4,7.55,4.166666666666667,2.08,3.44,3.61,2014/2015,11,10
2014-11-08,Augsburg,Paderborn,3,0,1,0,H,11,16,4,3,3,6,16,13,Bundesliga,1.66135,0.968616,2,5,9.083333333333334,18.8,1.79,3.73,4.66,2014/2015,8,-2
2014-11-08,Ein Frankfurt,Bayern Munich,0,4,0,1,A,6,19,2,9,4,8,21,15,Bundesliga,0.222447,3.03467,1,13,8.326530612244898,6.12,13.54,6.76,1.21,2014/2015,13,1
2014-11-08,Freiburg,Schalke 04,2,0,1,0,H,19,11,9,4,3,1,13,13,Bundesliga,1.62257,0.526997,4,5,17.791666666666668,10.714285714285714,2.74,3.41,2.58,2014/2015,14,3
2014-11-08,Hoffenheim,FC Koln,3,4,3,3,A,22,11,6,7,7,4,15,12,Bundesliga,1.19994,1.30702,11,2,5.730769230769231,24.066666666666663,1.84,3.71,4.35,2014/2015,9,-1
2014-11-08,Leverkusen,Mainz,0,0,0,0,D,24,6,6,1,13,0,17,20,Bundesliga,2.07319,0.293271,11,2,8.863636363636363,5.166666666666667,1.52,4.39,6.29,2014/2015,4,7
2014-11-08,Werder Bremen,Stuttgart,2,0,1,0,H,12,8,4,1,4,4,13,13,Bundesliga,0.645076,0.774005,6,3,13.62962962962963,5.5,2.62,3.46,2.64,2014/2015,12,15
2014-11-09,Dortmund,M'gladbach,1,0,0,0,H,22,1,6,0,7,0,7,11,Bundesliga,2.28053,0.0335359,10,0,9.93939393939394,14.95,1.61,4.2,5.41,2014/2015,2,6
2014-11-09,Wolfsburg,Hamburg,2,0,1,0,H,13,10,5,2,2,1,12,14,Bundesliga,1.95442,0.488693,4,3,11.681818181818182,8.709677419354838,1.62,4.12,5.46,2014/2015,5,16
2014-11-22,Bayern Munich,Hoffenheim,4,0,2,0,H,17,11,9,5,9,5,16,17,Bundesliga,2.08656,1.38014,12,6,5.88,9.0,1.16,8.26,16.35,2014/2015,1,9
2014-11-22,FC Koln,Hertha,1,2,0,1,A,12,10,2,6,3,5,11,14,Bundesliga,1.12625,0.473541,3,2,7.84,11.533333333333331,2.19,3.28,3.49,2014/2015,-1,11
2014-11-22,Hannover,Leverkusen,1,3,0,0,A,10,20,5,4,2,3,16,16,Bundesliga,0.780087,2.36608,4,9,4.6923076923076925,4.142857142857143,3.92,3.53,1.96,2014/2015,10,4
2014-11-22,Mainz,Freiburg,2,2,1,1,D,11,10,2,3,9,3,15,13,Bundesliga,1.79109,0.691191,3,1,6.172413793103448,24.2,2.18,3.37,3.46,2014/2015,7,14
2014-11-22,M'gladbach,Ein Frankfurt,1,3,1,0,A,9,25,3,13,8,11,10,16,Bundesliga,0.595484,1.73996,11,10,11.764705882352942,9.375,1.41,4.87,7.47,2014/2015,6,13
